Iteration: 233 | Cardinality: 270037.559180122 | Time: 0.9267222881317139
Iteration: 234 | Cardinality: 289046.08362750366 | Time: 0.937110185623169
Iteration: 235 | Cardinality: 285229.8211601626 | Time: 0.9704670906066895
Iteration: 236 | Cardinality: 284471.92852379254 | Time: 1.0290050506591797
Iteration: 237 | Cardinality: 286840.01482335106 | Time: 1.0427098274230957
Iteration: 238 | Cardinality: 285113.8021093288 | Time: 0.9893240928649902
Iteration: 239 | Cardinality: 293896.7714096162 | Time: 0.9163703918457031
Iteration: 240 | Cardinality: 276607.0382102104 | Time: 0.8975813388824463
Iteration: 241 | Cardinality: 298941.32587427535 | Time: 0.9746837615966797
Iteration: 242 | Cardinality: 287278.89510650496 | Time: 0.9234893321990967
Iteration: 243 | Cardinality: 298644.0523453036 | Time: 1.0311462879180908
Iteration: 244 | Cardinality: 288464.3952431156 | Time: 0.9316215515136719
Iteration: 245 | Cardinality: 300942.85679047287 | Time: 1.049123764038086
Iteration: 246 | Cardinality: 286455.8566820727 | Time: 0.949486494064331
Iteration: 247 | Cardinality: 279709.96124508366 | Time: 0.9751873016357422
Iteration: 248 | Cardinality: 285237.52317712654 | Time: 0.9633383750915527
Iteration: 249 | Cardinality: 294759.6100252353 | Time: 0.9804117679595947
Iteration: 250 | Cardinality: 277328.7922049774 | Time: 0.9654192924499512
Iteration: 251 | Cardinality: 288740.5812918568 | Time: 1.0383625030517578
Iteration: 252 | Cardinality: 282472.5821991382 | Time: 0.9142236709594727
Iteration: 253 | Cardinality: 280987.9308221311 | Time: 0.8903803825378418
Iteration: 254 | Cardinality: 297776.3611241449 | Time: 0.9185411930084229
Iteration: 255 | Cardinality: 286450.4708574035 | Time: 1.0473947525024414
Iteration: 256 | Cardinality: 281423.21742215153 | Time: 0.9289159774780273
Iteration: 257 | Cardinality: 290345.11596925976 | Time: 1.011603832244873
Iteration: 258 | Cardinality: 279055.8624132696 | Time: 1.0303966999053955
Iteration: 259 | Cardinality: 275883.84326998354 | Time: 1.004729986190796
Iteration: 260 | Cardinality: 273639.00883998175 | Time: 0.9342851638793945
Iteration: 261 | Cardinality: 296150.1970782159 | Time: 0.9393720626831055
Iteration: 262 | Cardinality: 290175.0706394865 | Time: 1.0760712623596191
Iteration: 263 | Cardinality: 296032.5648294192 | Time: 1.0425822734832764
Iteration: 264 | Cardinality: 282371.90308119456 | Time: 1.041802167892456
Iteration: 265 | Cardinality: 284210.26762877067 | Time: 1.0359032154083252
Iteration: 266 | Cardinality: 294004.3515858086 | Time: 0.977651834487915
Iteration: 267 | Cardinality: 275057.42217658594 | Time: 0.9182054996490479
Iteration: 268 | Cardinality: 279449.98464259057 | Time: 0.9871084690093994
Iteration: 269 | Cardinality: 284980.0906266781 | Time: 1.0142314434051514
Iteration: 270 | Cardinality: 276720.75459483545 | Time: 0.9341676235198975
Iteration: 271 | Cardinality: 263763.76080421323 | Time: 0.9551734924316406
Iteration: 272 | Cardinality: 282160.7103645244 | Time: 1.096374273300171
Iteration: 273 | Cardinality: 280473.3384436596 | Time: 0.96407151222229
Iteration: 274 | Cardinality: 289745.23753848806 | Time: 1.0538952350616455
Iteration: 275 | Cardinality: 304400.44280587335 | Time: 0.9692168235778809
Iteration: 276 | Cardinality: 280684.0006964006 | Time: 1.0479998588562012
Iteration: 277 | Cardinality: 279610.9207386846 | Time: 1.0624339580535889
Iteration: 278 | Cardinality: 285770.5872305567 | Time: 1.0238125324249268
Iteration: 279 | Cardinality: 291352.28273159085 | Time: 0.9460220336914062
Iteration: 280 | Cardinality: 296258.39498939156 | Time: 0.9830048084259033
Iteration: 281 | Cardinality: 283369.6708095418 | Time: 0.9648520946502686
Iteration: 282 | Cardinality: 284553.2342646887 | Time: 0.9998993873596191
Iteration: 283 | Cardinality: 283823.2531366363 | Time: 0.9857568740844727
Iteration: 284 | Cardinality: 305866.17441751575 | Time: 0.9636101722717285
Iteration: 285 | Cardinality: 280081.277168434 | Time: 0.9481377601623535
Iteration: 286 | Cardinality: 274369.4224759204 | Time: 1.027724266052246
Iteration: 287 | Cardinality: 289202.402805725 | Time: 0.9607927799224854
Iteration: 288 | Cardinality: 274971.88374394824 | Time: 0.9134259223937988
Iteration: 289 | Cardinality: 297834.3488907649 | Time: 0.9210877418518066
Iteration: 290 | Cardinality: 308605.08172084216 | Time: 0.8976519107818604
Iteration: 291 | Cardinality: 292035.60195870046 | Time: 0.9546918869018555
Iteration: 292 | Cardinality: 296586.0172856705 | Time: 1.002673864364624
Iteration: 293 | Cardinality: 286140.2994094825 | Time: 0.9103665351867676
Iteration: 294 | Cardinality: 290771.90289347555 | Time: 0.9780261516571045
Iteration: 295 | Cardinality: 287941.7540385336 | Time: 0.9962515830993652
Iteration: 296 | Cardinality: 292376.5496830039 | Time: 0.9284634590148926
Iteration: 297 | Cardinality: 275219.67122085765 | Time: 0.995434045791626
Iteration: 298 | Cardinality: 298987.07374116126 | Time: 0.9154753684997559
Iteration: 299 | Cardinality: 298942.2265236847 | Time: 0.9584920406341553
Iteration: 300 | Cardinality: 300078.3835816634 | Time: 1.0802462100982666
Iteration: 301 | Cardinality: 298466.2866890277 | Time: 1.021064043045044
Iteration: 302 | Cardinality: 277108.25543771737 | Time: 0.9368345737457275
Iteration: 303 | Cardinality: 290547.21725410037 | Time: 0.942352294921875
Iteration: 304 | Cardinality: 266621.34889952175 | Time: 0.974445104598999
Iteration: 305 | Cardinality: 278232.76878501545 | Time: 0.9106860160827637
Iteration: 306 | Cardinality: 279123.0989410787 | Time: 0.9645078182220459
Iteration: 307 | Cardinality: 272239.3590528499 | Time: 0.9393405914306641
Iteration: 308 | Cardinality: 282217.3996588858 | Time: 0.9472897052764893
Iteration: 309 | Cardinality: 286957.31336076505 | Time: 1.0552399158477783
Iteration: 310 | Cardinality: 287245.45993551693 | Time: 1.0365614891052246
Iteration: 311 | Cardinality: 286154.3553502118 | Time: 0.9185667037963867
Iteration: 312 | Cardinality: 283742.0336853311 | Time: 0.9860517978668213
Iteration: 313 | Cardinality: 283591.50934728136 | Time: 1.0262393951416016
Iteration: 314 | Cardinality: 290932.44525587553 | Time: 1.0061743259429932
Iteration: 315 | Cardinality: 301728.67297676083 | Time: 0.9152786731719971
Iteration: 316 | Cardinality: 285528.7074909818 | Time: 1.0403456687927246
Iteration: 317 | Cardinality: 281869.3783957881 | Time: 0.9210710525512695
Iteration: 318 | Cardinality: 270610.26516511093 | Time: 1.0866844654083252
Iteration: 319 | Cardinality: 269915.7494429146 | Time: 1.0313949584960938
Iteration: 320 | Cardinality: 280799.6888621779 | Time: 1.0310468673706055
Iteration: 321 | Cardinality: 272446.35520843026 | Time: 0.9203228950500488
Iteration: 322 | Cardinality: 267259.5880544683 | Time: 0.9028093814849854
Iteration: 323 | Cardinality: 293700.69586521393 | Time: 1.0455479621887207
Iteration: 324 | Cardinality: 277962.4241492191 | Time: 1.0226960182189941
Iteration: 325 | Cardinality: 282112.8839267833 | Time: 1.0343477725982666
Iteration: 326 | Cardinality: 296956.4335305019 | Time: 1.0159215927124023
Iteration: 327 | Cardinality: 293551.16971748485 | Time: 0.9413857460021973
Iteration: 328 | Cardinality: 270147.0424770143 | Time: 0.9393112659454346
Iteration: 329 | Cardinality: 304767.4329915835 | Time: 0.9590103626251221
Iteration: 330 | Cardinality: 280331.2209003591 | Time: 1.0131845474243164
Iteration: 331 | Cardinality: 286990.8374253953 | Time: 1.044145107269287
Iteration: 332 | Cardinality: 276885.5530898471 | Time: 1.0595695972442627
Iteration: 333 | Cardinality: 283575.26795788243 | Time: 1.0008583068847656
Iteration: 334 | Cardinality: 262738.73606423364 | Time: 0.9247705936431885
Iteration: 335 | Cardinality: 265485.0870651803 | Time: 0.9000723361968994
Iteration: 336 | Cardinality: 284231.680414055 | Time: 0.9047605991363525
Iteration: 337 | Cardinality: 276051.66195177886 | Time: 0.9715559482574463
Iteration: 338 | Cardinality: 271988.595795639 | Time: 1.0743966102600098
Iteration: 339 | Cardinality: 276662.67702958937 | Time: 0.9660203456878662
Iteration: 340 | Cardinality: 292785.6897059816 | Time: 0.9353506565093994
Iteration: 341 | Cardinality: 276280.7079062222 | Time: 1.042264461517334
Iteration: 342 | Cardinality: 276420.29030638747 | Time: 0.9629642963409424
Iteration: 343 | Cardinality: 288059.4318757904 | Time: 0.9435780048370361
Iteration: 344 | Cardinality: 272439.79690945166 | Time: 0.9924471378326416
Iteration: 345 | Cardinality: 274359.2082529167 | Time: 1.0231420993804932
Iteration: 346 | Cardinality: 286940.2684682419 | Time: 0.9315698146820068
Iteration: 347 | Cardinality: 290961.4275453419 | Time: 0.9665894508361816
Iteration: 348 | Cardinality: 284489.90731834905 | Time: 1.0614526271820068
Iteration: 349 | Cardinality: 283726.486326973 | Time: 0.9337797164916992
Iteration: 350 | Cardinality: 295809.5085771973 | Time: 1.030548334121704
Iteration: 351 | Cardinality: 298305.3552215373 | Time: 1.028275966644287
Iteration: 352 | Cardinality: 285429.64328510966 | Time: 1.037961721420288
Iteration: 353 | Cardinality: 287052.65658291115 | Time: 1.0143864154815674
Iteration: 354 | Cardinality: 280941.0988526513 | Time: 0.9540886878967285
Iteration: 355 | Cardinality: 278620.21960695693 | Time: 0.9282569885253906
Iteration: 356 | Cardinality: 287378.98672716995 | Time: 1.225365400314331
Iteration: 357 | Cardinality: 310566.34401516814 | Time: 1.0655763149261475
Iteration: 358 | Cardinality: 292930.97085772926 | Time: 0.9230999946594238
Iteration: 359 | Cardinality: 300955.67509702896 | Time: 0.9744350910186768
Iteration: 360 | Cardinality: 289480.69206383626 | Time: 0.9123728275299072
Iteration: 361 | Cardinality: 284976.5924802007 | Time: 1.062626600265503
Iteration: 362 | Cardinality: 282095.58098066744 | Time: 0.9116523265838623
Iteration: 363 | Cardinality: 288894.72653910384 | Time: 0.9110026359558105
Iteration: 364 | Cardinality: 279038.9569896214 | Time: 0.9114415645599365
Iteration: 365 | Cardinality: 281646.323033745 | Time: 0.917142391204834
Iteration: 366 | Cardinality: 290209.51026104303 | Time: 1.0599894523620605
